"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","97270","","337576","","Mycah Pittman","utah-utes","UTAH","05","WR","2024","162","0.0002","0","116","46","0","50.8","56.9","52.9","","","38.5","11","1-0"
"","","97278","","337602","","Javon Harvey","duke-blue-devils","DUKE","07","WR","2024","211","0.0003","0","121","90","0","54.2","","55","","","55.2","15","1-1"
"","","97285","","352050","","Trenton Bourguet","arizona-state-sun-devils","ARIZONA ST","16","QB","2024","13","0","6","3","4","0","65.2","62.9","","62","","60","0","0-0"
"","","97287","","342227","","Trevor Wilson","kansas-jayhawks","KANSAS","07","WR","2024","148","0.0002","3","82","63","0","62.6","","64","52.6","","60.7","8","1-0"
"","","97303","","328073","","Enoch Nawahine","byu-cougars","BYU","21","HB","2024","81","0.0001","30","23","19","9","61.6","","52.6","64.6","28.7","66.2","13","1-0"
"","","97305","","325327","","Devyn Ford","notre-dame-fighting-irish","NOTRE DAME","22","HB","2024","62","0.0001","13","19","14","16","60.9","","64.7","60.1","39.3","67.4","16","0-0"
"","","97351","","337955","","Jakeen Harris","north-carolina-tar-heels","N CAROLINA","D02","S","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","97379","","330669","","Woodi Washington","oklahoma-sooners","OKLAHOMA","D05","CB","2024","1","0","0","1","0","0","85.9","","87.7","","","","1","0-0"
"","","97397","","348464","","Alex Raynor","kentucky-wildcats","KENTUCKY","S16","K","2024","2","0","0","0","1","1","60","","","","60.9","60","0","0-0"
"","","97398","","336413","","Khafre Brown","arkansas-razorbacks","ARKANSAS","89","WR","2024","9","0","0","8","1","0","81.4","","78.2","","","60","2","0-0"
"","","97403","","325956","","John Emery Jr.","lsu-tigers","LSU","22","HB","2024","19","0","10","7","0","2","67.8","","66.9","65.8","75.6","","4","0-0"
"","","97422","","325507","","Dino Tomlin","boston-college-eagles","BOSTON COL","13","WR","2024","160","0.0002","0","80","80","0","51.8","","51.1","","","58.2","4","0-0"
"","","97423","","325175","","Jake Smith","arizona-state-sun-devils","ARIZONA ST","08","WR","2024","150","0.0002","5","83","62","0","57.8","","57.9","59.1","","56","16","0-0"
"","","97424","","350451","","Bryce Kirtz","northwestern-wildcats","NWESTERN","17","WR","2024","460","0.0007","0","294","166","0","70.7","","70.4","","","62.8","43","1-1"
"","","97433","","349217","","Trey Sanders","tcu-horned-frogs","TCU","02","HB","2024","25","0","14","11","0","0","49.4","","37.5","55.2","","","6","0-0"
"","","97453","","325760","","Luis Cristobal Jr.","miami-fl-hurricanes","MIAMI FL","52","G","2024","73","0.0001","0","0","38","35","53.2","","","","47.7","52.4","15","0-0"
"","","97476","","352261","","Derin McCulley","indiana-hoosiers","INDIANA","14","WR","2024","3","0","0","0","3","0","60.1","","","","","60.2","0","0-0"
"","","97620","","325543","","Zakhari Franklin","illinois-fighting-illini","ILLINOIS","04","WR","2024","629","0.0009","0","358","271","0","77.8","","77.4","","","70.9","77","0-0"
"","","97645","","324678","","Jakai Clark","smu-mustangs","SMU","53","C","2024","922","0.0013","0","0","422","500","73.6","","","","88.5","68.2","154","4-0"
"","","97653","","351676","","Tanner Miller","michigan-state-spartans","MICH STATE","61","C","2024","733","0.0011","0","0","319","414","73","","","","76.9","68.9","143","0-0"
"","","97659","","349267","","Kris Mitchell","notre-dame-fighting-irish","NOTRE DAME","10","WR","2024","478","0.0007","0","275","203","0","61.6","","60.7","","","68.5","30","1-0"
"","","97665","","339913","","Dante Cephas","kansas-state-wildcats","KANSAS ST","14","WR","2024","361","0.0005","0","189","172","0","61.8","","61.3","","","60.9","22","0-0"
"","","97703","","325245","","M.J. Griffin","louisville-cardinals","LOUISVILLE","D26","S","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","97754","","325533","","Jordan Waters","north-carolina-state-wolfpack","NC STATE","07","HB","2024","282","0.0004","99","119","19","45","72.9","","71.7","73.8","61.6","36.8","67","1-0"
"","","97773","","325578","","Jaren Mangham","minnesota-golden-gophers","MINNESOTA","08","HB","2024","22","0","19","1","0","2","85.2","","60.8","80.8","77.6","","12","0-0"
"","","97792","","338888","","Torry Locklin","kansas-jayhawks","KANSAS","12","WR","2024","106","0.0002","2","29","75","0","59.4","","57","60.6","","63.8","10","0-0"
"","","97796","","362806","","Michael Johnson Jr.","syracuse-orange","SYRACUSE","09","QB","2024","12","0","0","7","5","0","62.7","71.6","","52.9","","60","4","0-0"
"","","97799","","339231","","Michael Kern","wake-forest-demon-deacons","WAKE","15","QB","2024","96","0.0001","2","54","40","0","65.2","65.4","","56.7","","60","29","0-0"
"","","97800","","328087","","Jadon Jackson","kansas-state-wildcats","KANSAS ST","00","WR","2024","346","0.0005","2","188","156","0","57.8","","57.3","63.6","","55.7","21","0-0"
"","","97804","","330460","","Dequan Finn","baylor-bears","BAYLOR","07","QB","2024","134","0.0002","16","56","62","0","54.4","43.7","54.3","72","","60","40","0-0"
"","","97813","","340213","","Donavon Greene","wake-forest-demon-deacons","WAKE","11","WR","2024","293","0.0004","0","196","97","0","63.7","","67","","","39.2","43","4-1"
"","","97835","","330856","","Will McDonald","california-golden-bears","CAL","66","C","2024","704","0.001","0","0","239","465","66.4","","","","72.6","63.1","82","5-1"
"","","97855","","350591","","Charles Ross","usc-trojans","USC","84","WR","2024","14","0","0","8","6","0","65.6","","64.6","","","60.6","2","0-0"
"","","97889","","327776","","Jack Kiser","notre-dame-fighting-irish","NOTRE DAME","D24","LB","2024","4","0","0","0","1","3","60","","","","99.9","60","0","0-0"
"","","97994","","327841","","Graham Mertz","florida-gators","FLORIDA","15","QB","2024","198","0.0003","9","116","73","0","73.7","75.4","","55.5","","60","54","0-0"
"","","97995","","325529","","Eli Pancol","duke-blue-devils","DUKE","04","WR","2024","702","0.001","0","406","295","1","70.9","","70.9","","62.1","65.3","78","2-0"
"","","97998","","340641","","Kurtis Rourke","indiana-hoosiers","INDIANA","09","QB","2024","711","0.001","16","383","312","0","88.4","90.2","54.3","46.7","","60.2","184","0-0"
"","","97999","","330680","","Dariyan Wiley","vanderbilt-commodores","VANDERBILT","01","WR","2024","36","0.0001","0","15","21","0","60.1","","59.9","","","59.2","1","0-0"
"","","98002","","330855","","Grayson McCall","north-carolina-state-wolfpack","NC STATE","02","QB","2024","157","0.0002","5","100","52","0","70.1","77.9","","43.8","","60.1","52","1-0"
"","","98005","","330671","","Theo Wease Jr.","missouri-tigers","MISSOURI","01","WR","2024","658","0.001","0","350","308","0","78","","79.9","","","53.4","70","0-0"
"","","98025","","351299","","Collin Schlee","virginia-tech-hokies","VA TECH","03","QB","2024","171","0.0002","28","84","59","0","61.3","52.6","55","68.4","","61","63","0-0"
"","","98029","","348257","","Cameron Hite","wake-forest-demon-deacons","WAKE","20","TE","2024","454","0.0007","0","196","203","55","45.9","","47.4","","39.6","51.8","75","1-0"
"","","98033","","340242","","Isaiah Neyor","nebraska-cornhuskers","NEBRASKA","18","WR","2024","582","0.0008","2","374","206","0","60.4","","61.2","62.9","","46.1","62","3-0"
"","","98057","","339658","","Nishad Strother","oregon-ducks","OREGON","50","G","2024","836","0.0012","0","3","387","446","70.6","","56.5","","75","69.7","177","3-2"
"","","98061","","351291","","Jack Bailey","northwestern-wildcats","NWESTERN","69","C","2024","220","0.0003","0","0","102","118","63.2","","","","73.7","58.4","53","0-0"
"","","98068","","347924","","Ethan Miner","mississippi-state-bulldogs","MISS STATE","67","C","2024","814","0.0012","0","0","332","482","69.9","","","","78.6","63.9","149","0-0"
"","","98070","","348784","","Tyler Brown","colorado-buffaloes","COLORADO","56","G","2024","637","0.0009","0","0","177","460","58.3","","","","64.4","52.1","102","1-1"
"","","98110","","338000","","Kyle Maxwell","washington-state-cougars","WASH STATE","09","WR","2024","29","0","0","10","19","0","55.2","","54.7","","","60.5","0","0-0"
"","","98138","","327763","","Ramon Puryear","louisville-cardinals","LOUISVILLE","D41","ED","2024","2","0","0","0","2","0","60","","","","","60.1","0","0-0"
"","","98144","","325225","","Keivie Rose","arkansas-razorbacks","ARKANSAS","D93","DI","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","98229","","349287","","Victor Cutler Jr.","louisville-cardinals","LOUISVILLE","59","G","2024","61","0.0001","0","0","27","34","64.7","","","","70.2","62.1","10","0-0"
"","","98230","","340166","","Joey Capra","arizona-wildcats","ARIZONA","53","T","2024","215","0.0003","0","0","71","144","58.5","","","","54.2","58.7","54","0-0"
"","","98232","","327755","","Renato Brown","louisville-cardinals","LOUISVILLE","56","G","2024","256","0.0004","0","0","127","129","51.8","","","","57.4","48","61","1-1"
"","","98249","","340182","","Timothy McKay","north-carolina-state-wolfpack","NC STATE","52","G","2024","769","0.0011","0","0","313","456","70.5","","","","73.1","69.8","159","4-2"
"","","98252","","351261","","Joshua Gray","oregon-state-beavers","OREGON ST","67","G","2024","860","0.0012","0","0","414","446","72.9","","","","63.1","74.6","196","2-0"
"","","98266","","340236","","Steven Losoya III","vanderbilt-commodores","VANDERBILT","68","G","2024","762","0.0011","0","0","411","351","56.4","","","","65.9","51.6","147","1-0"
"","","98296","","324996","","Nick Gallo","virginia-tech-hokies","VA TECH","86","TE","2024","2","0","0","0","2","0","60","","","","","60","0","0-0"
"","","98313","","327799","","Sylvain Yondjouen","georgia-tech-yellow-jackets","GA TECH","D32","ED","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","98350","","350481","","Duke Olges","northwestern-wildcats","NWESTERN","02","TE","2024","144","0.0002","0","33","92","19","53.9","","51.5","","71.7","54.3","38","0-0"
"","","98358","","325932","","Joshua Simon","south-carolina-gamecocks","S CAROLINA","06","TE","2024","703","0.001","0","334","316","53","68.7","","73.2","","56.7","56.9","136","2-0"
"","","98363","","340832","","Paul Tyson","clemson-tigers","CLEMSON","15","QB","2024","4","0","1","0","3","0","60.2","","","60","","60","0","0-0"
"","","98383","","339950","","Reece McIntyre","mississippi-rebels","OLE MISS","56","C","2024","878","0.0013","0","0","383","495","61.5","","","","70","56.5","135","1-0"
"","","98391","","350006","","DeVonte Gordon","wake-forest-demon-deacons","WAKE","62","T","2024","779","0.0011","0","0","310","469","81.7","","","","79.5","79.9","101","7-2"
"","","98398","","350975","","Ben Scott","nebraska-cornhuskers","NEBRASKA","66","C","2024","876","0.0013","0","0","380","496","67.9","","","","82.3","60.6","127","2-0"
"","","98405","","385009","","Ryan Jacoby","pittsburgh-panthers","PITTSBURGH","61","G","2024","527","0.0008","0","0","190","337","55.6","","","","50.9","53.9","113","0-0"
"","","98407","","328120","","Michael Tarquin","oklahoma-sooners","OKLAHOMA","70","T","2024","569","0.0008","0","0","222","347","67.7","","","","69","65.6","82","2-1"
"","","98421","","349245","","Shamar Hobdy-Lee","houston-cougars","HOUSTON","58","T","2024","227","0.0003","0","0","116","111","57.2","","","","41.6","60.2","40","1-0"
"","","98423","","339947","","Jeremy James","mississippi-rebels","OLE MISS","78","G","2024","244","0.0004","0","0","106","138","61.9","","","","67.1","58.8","38","1-0"
"","","98430","","330331","","Thomas Gordon","northwestern-wildcats","NWESTERN","87","TE","2024","548","0.0008","0","305","218","25","51.6","","56.5","","29.8","47.3","99","3-0"
"","","98482","","347731","","Dalton Cooper","oklahoma-state-cowboys","OKLA STATE","71","T","2024","464","0.0007","0","0","179","285","73.2","","","","85.4","60.8","64","2-0"
"","","98494","","351304","","Tyler Stephens","missouri-tigers","MISSOURI","80","TE","2024","150","0.0002","0","40","94","16","52.2","","54.4","","55.6","52.1","37","1-0"
"","","98496","","337087","","Luke Deal","auburn-tigers","AUBURN","86","TE","2024","287","0.0004","0","82","172","33","54.6","","49.6","","79.5","56.1","60","0-0"
"","","98497","","351035","","Tyler Foster","oklahoma-state-cowboys","OKLA STATE","86","TE","2024","210","0.0003","0","100","81","29","46.8","","47.5","","68.6","45.9","31","0-0"
