"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","DEF","DEF%","RUND","PRSH","COV","DEF GRD","RUND GRD","PRSH GRD","COV","KEY","PEN","BP","TKL","AST","MT","STOP"
"","","98838","","328254","","Shilo Sanders","colorado-buffaloes","COLORADO","D21","S","2024","607","0.0009","270","14","323","69.3","67.5","68.9","71.7","45","4-0","0","50","8","9","5"
"","","98842","","325747","","Warren Burrell","georgia-tech-yellow-jackets","GA TECH","D04","CB","2024","564","0.0008","223","0","341","76.3","50.8","","79.8","44","1-0","0","24","1","10","7"
"","","98859","","340834","","Brandon Turnage","mississippi-rebels","OLE MISS","D08","CB","2024","265","0.0004","103","5","157","58.1","67.5","55.1","57.5","27","1-0","0","16","3","1","7"
"","","98860","","362096","","DJ Douglas","florida-gators","FLORIDA","D12","S","2024","245","0.0004","119","2","124","51.7","50.2","56.6","55.4","28","1-0","0","17","3","13","4"
"","","98871","","349654","","Hudson Clark","arkansas-razorbacks","ARKANSAS","D17","CB","2024","431","0.0006","208","1","222","73.1","89","53.5","68.5","46","1-0","1","28","7","6","14"
"","","98883","","361934","","Dan Jackson","georgia-bulldogs","GEORGIA","D17","S","2024","706","0.001","286","12","408","59.6","47.2","61","65.6","75","1-0","0","56","9","15","19"
"","","98903","","325960","","Maurice Hampton Jr.","vanderbilt-commodores","VANDERBILT","D34","S","2024","144","0.0002","70","0","74","66.4","74.2","","61.6","9","0-0","0","12","8","2","2"
"","","98907","","327853","","De'Monte Russell","mississippi-state-bulldogs","MISS STATE","D09","ED","2024","342","0.0005","189","151","2","67.1","80.2","51.8","61.2","68","3-0","0","20","7","4","14"
"","","98913","","328239","","Joe Anderson","purdue-boilermakers","PURDUE","D95","DI","2024","465","0.0007","247","218","0","63.2","66.2","54.1","62.5","100","0-0","0","14","11","3","10"
"","","98915","","330251","","Elijah Simmons","tennessee-volunteers","TENNESSEE","D10","DI","2024","187","0.0003","81","106","0","71.4","76.9","57.9","60","47","0-0","0","9","3","1","7"
"","","98929","","328078","","Collin Clay","oklahoma-state-cowboys","OKLA STATE","D93","DI","2024","378","0.0006","194","184","0","61.4","65.7","51.6","60.9","88","0-0","1","14","6","5","14"
"","","98930","","339330","","Eric Gregory","arkansas-razorbacks","ARKANSAS","D50","DI","2024","589","0.0009","263","326","0","75.3","82.2","62.1","67.4","126","2-0","1","26","11","2","25"
"","","98934","","349052","","Taurean Carter","colorado-buffaloes","COLORADO","D90","DI","2024","28","0","21","7","0","50.7","57","58.6","","10","1-0","0","1","0","0","1"
"","","98941","","327919","","Bill Norton","texas-longhorns","TEXAS","D15","DI","2024","259","0.0004","150","109","0","61.7","58.9","61.2","68","76","0-0","0","10","4","0","10"
"","","98943","","327918","","Tymon Mitchell","tcu-horned-frogs","TCU","D91","DI","2024","280","0.0004","157","123","0","64.8","61.2","61.7","76.6","70","0-0","0","4","4","3","4"
"","","98988","","350946","","Tarian Lee Jr.","smu-mustangs","SMU","D40","LB","2024","6","0","4","0","2","53.7","54","","60.1","2","0-0","0","1","0","0","1"
"","","98999","","362502","","Kevin Harris","georgia-tech-yellow-jackets","GA TECH","D11","ED","2024","395","0.0006","177","193","25","50.4","48.5","53.9","51.2","61","0-0","0","10","4","5","10"
"","","99105","","349668","","Brandon Mack","houston-cougars","HOUSTON","D04","ED","2024","531","0.0008","255","199","77","57.7","64.7","56","49.8","80","2-0","0","26","9","7","19"
"","","99111","","339335","","J.J. Weaver","kentucky-wildcats","KENTUCKY","D13","ED","2024","452","0.0007","225","168","59","71.5","71.4","72.1","63.1","94","2-1","0","19","10","5","16"
"","","99175","","327852","","J.P. Purvis","mississippi-state-bulldogs","MISS STATE","D26","LB","2024","230","0.0003","125","10","95","45.4","61.6","53.2","31.2","51","0-0","0","21","8","5","7"
"","","99177","","328047","","Marcel Brooks","tcu-horned-frogs","TCU","D09","ED","2024","67","0.0001","7","59","1","59.3","57.6","62.4","60.3","13","1-0","0","2","0","2","5"
"","","99257","","327745","","Kee'yon Stewart","arkansas-razorbacks","ARKANSAS","D01","CB","2024","386","0.0006","178","1","207","70.4","79.9","55.4","67.9","28","2-0","0","19","4","8","7"
"","","99280","","349289","","Logan Wilson","cincinnati-bearcats","CINCINNATI","D13","S","2024","285","0.0004","126","0","159","59.6","56","","60.5","37","0-0","0","13","4","8","5"
"","","99307","","325473","","Trace Ford","oklahoma-sooners","OKLAHOMA","D30","ED","2024","321","0.0005","149","126","46","70.9","63.2","79.2","64.7","69","2-0","1","13","5","5","14"
