"Rank","","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","","Team","#","POS","S","OFF","OFF%","Run","Pass","RBLK","PBLK","OFF GRD","PASS GRD","REC GRD","RUSH GRD","PBLK GRD","RBLK GRD","KEY","PEN"
"","","102637","","337177","","Jaden Smith","nevada-wolf-pack","NEVADA","01","WR","2024","814","0.0069","0","448","365","1","76.9","73.1","77.9","","61","62.8","86","3-0"
"","","104082","","385525","","Marcus Bellon","nevada-wolf-pack","NEVADA","18","WR","2024","586","0.005","9","351","226","0","67.9","62","68.1","63.5","","56.2","59","2-0"
"","","109089","","328295","","Kobe Johnson","colorado-state-rams","COLO STATE","00","HB","2024","29","0.0002","12","15","0","2","59.5","72.6","62.8","57.2","13.1","","7","1-1"
"","","121536","","349662","","Elliott Nimrod","utah-state-aggies","UTAH ST","S89","K","2024","2","0","1","1","0","0","69.7","","60","63.4","","","1","0-0"
"","","122067","","347970","","Sol-Jay Maiava-Peters","new-mexico-lobos","NEW MEXICO","30","HB","2024","72","0.0006","23","28","18","3","62.4","","58.9","63.6","73.5","46.9","15","0-0"
"","","122412","","348310","","Chubba Purdy","nevada-wolf-pack","NEVADA","13","QB","2024","66","0.0006","10","39","17","0","69.7","70","61.8","63.3","","60.1","18","0-0"
"","","122608","","349980","","Christian Moore","unlv-rebels","UNLV","44","TE","2024","476","0.004","1","120","298","57","64.7","","40.8","57.6","61.4","79.9","124","2-2"
"","","122840","","348165","","D.J. Jones","wyoming-cowboys","WYOMING","26","HB","2024","132","0.0011","58","50","13","11","56.2","","43.7","60.2","28","49.5","28","0-0"
"","","123090","","349453","","Caleb Medford","new-mexico-lobos","NEW MEXICO","12","WR","2024","338","0.0029","0","199","139","0","65.1","","64.3","","","65.4","29","0-0"
"","","123111","","348203","","Kitan Crawford","nevada-wolf-pack","NEVADA","D04","S","2024","2","0","0","0","2","0","60","","","","","60.1","0","0-0"
"","","123138","","350814","","Nate Floyd","nevada-wolf-pack","NEVADA","85","WR","2024","21","0.0002","0","17","4","0","60","","59.8","","","60.4","2","0-0"
"","","123963","","372755","","Jalen St. John","unlv-rebels","UNLV","74","T","2024","880","0.0075","0","0","473","407","66.2","","","","71","61.9","108","5-1"
"","","123973","","350070","","Jackson Woodard","unlv-rebels","UNLV","D07","LB","2024","2","0","0","0","1","1","60","","","","63.8","60","0","0-0"
"","","127306","","429282","","Owen Allen","air-force-falcons","AIR FORCE","22","HB","2024","145","0.0012","79","0","60","6","74.5","","","72","82.2","61.9","44","0-0"
"","","127312","","425420","","Kaden Anderson","wyoming-cowboys","WYOMING","12","QB","2024","270","0.0023","22","129","119","0","67.8","72","","49.8","","60","66","1-1"
"","","127412","","406735","","Will Thomas","unlv-rebels","UNLV","72","G","2024","64","0.0005","0","4","37","23","55.3","","51.5","","23","66.3","15","1-0"
"","","128118","","351452","","Austin Bolt","boise-state-broncos","BOISE ST","81","WR","2024","374","0.0032","0","139","235","0","66.4","","64.7","","","75.2","46","3-0"
"","","128119","","360206","","Latrell Caples","boise-state-broncos","BOISE ST","03","WR","2024","622","0.0053","0","314","306","2","68.5","","69.5","","69.3","58.2","67","2-1"
"","","128120","","393425","","Nathan Cardona","boise-state-broncos","BOISE ST","57","G","2024","55","0.0005","0","0","38","17","53.4","","","","57.3","52.9","15","0-0"
"","","128130","","351243","","Herbert Gums","boise-state-broncos","BOISE ST","D98","DI","2024","9","0.0001","0","1","8","0","67.4","","60","","","69","2","0-0"
"","","128145","","351456","","Cam Bariteau","colorado-state-rams","COLO STATE","D94","DI","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","128146","","350753","","Henry Blackburn","colorado-state-rams","COLO STATE","D11","S","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","128160","","350760","","James Mitchell","colorado-state-rams","COLO STATE","D91","DI","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","128163","","394965","","Dane Olson","colorado-state-rams","COLO STATE","81","WR","2024","240","0.002","1","152","87","0","74","74","72.2","63.2","","65.5","34","0-0"
"","","128170","","351175","","Chase Wilson","colorado-state-rams","COLO STATE","D30","LB","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","128172","","350717","","Jordan Brown","fresno-state-bulldogs","FRESNO ST","81","WR","2024","128","0.0011","0","72","56","0","59.4","","60.2","","","52","11","0-0"
"","","128174","","350718","","Mac Dalena","fresno-state-bulldogs","FRESNO ST","00","WR","2024","686","0.0058","5","437","244","0","73.6","","74.3","61.7","","56.7","76","1-0"
"","","128186","","350729","","Tyler Mello","fresno-state-bulldogs","FRESNO ST","D42","LB","2024","7","0.0001","0","2","5","0","74.2","","77","","","73.8","5","0-0"
"","","128188","","393569","","Julian Polendo","fresno-state-bulldogs","FRESNO ST","74","C","2024","84","0.0007","0","0","45","39","67.9","","","","63.2","66.1","19","0-0"
"","","128189","","351973","","Malik Sherrod","fresno-state-bulldogs","FRESNO ST","02","HB","2024","156","0.0013","60","75","5","16","59.2","","50.9","64.3","46.7","42.9","33","1-0"
"","","128195","","359468","","Ezra Evaimalo","hawaii-warriors","HAWAII","D52","DI","2024","1","0","0","0","1","0","60","","","","","60","0","0-0"
"","","128204","","350738","","Tamatoa Mokiao-Atimalala","hawaii-warriors","HAWAII","08","WR","2024","201","0.0017","0","136","65","0","52.2","","52.8","","","50.2","26","0-0"
"","","128207","","351626","","Koali Nishigaya","hawaii-warriors","HAWAII","23","WR","2024","123","0.001","0","87","36","0","50.6","","52.8","","","37.8","13","0-0"
"","","128215","","350743","","Maurice Ta'ala","hawaii-warriors","HAWAII","51","G","2024","118","0.001","0","0","33","85","53.1","","","","47.3","51","22","0-0"
